Geneid	SRR17869115	SRR17869118	SRR17869121	SRR17869116	SRR17869119	SRR17869122
100008567	0	0	0	1	0	2
100009600	1	1	3	0	0	1
100009609	0	0	0	0	0	0
100009614	0	0	0	0	0	0
100009664	0	0	0	0	0	0
100012	0	0	0	0	0	0
100017	1573	1832	752	1220	1275	966
100019	868	546	756	740	567	785
100033459	1304	1372	1	1738	1069	6
100034251	1935	2383	1003	1804	2178	1088
100034361	118	123	156	131	116	154
100034363	0	0	0	0	0	0
100034684	2	0	0	0	2	2
100034726	281	249	232	272	254	276
100034729	0	0	0	0	0	0
100034739	0	1	3	0	1	2
100034748	0	0	2	0	0	2
100036518	0	0	0	0	0	0
100036520	0	0	0	0	0	0
100036521	363	318	241	308	323	278
100036523	6	6	10	5	5	12
100036537	0	0	0	0	0	0
100036568	0	0	0	0	0	0
100036571	0	0	0	0	0	0
100036572	0	0	0	0	0	0
100036768	149	172	138	150	190	144
100037258	3081	2792	3572	2679	2552	4093
100037260	0	0	5	0	0	3
100037262	25	31	23	32	29	29
100037278	21	21	26	27	31	35
100037282	148	114	134	165	127	152
100037283	3559	2999	1293	3480	3026	1667
100037396	1	7	9	3	4	5
100038347	0	0	2	0	0	0
100038349	0	0	0	0	0	0
100038353	0	0	0	0	0	0
100038356	0	0	1	0	0	1
100038357	0	0	0	0	0	0
100038358	0	0	0	0	0	0
100038359	0	0	0	0	0	0
100038361	0	0	0	0	1	0
100038363	226	96	3854	334	90	4380
100038371	1	0	1	1	0	2
100038374	0	0	0	0	0	0
100038376	2	0	0	1	0	0
100038378	3	1	1	0	1	3
100038380	0	0	0	0	0	0
100038381	0	4	4	4	0	7
100038382	0	0	1	0	0	0
100038383	0	0	0	0	0	0
100038384	0	0	0	0	0	0
100038388	2	2	14	5	4	12
100038391	0	1	0	0	0	0
100038392	18	19	20	9	12	15
100038394	0	0	0	0	0	0
100038395	0	0	0	0	0	0
100038398	2	10	0	2	5	1
100038399	0	0	0	0	0	0
100038410	0	0	0	0	0	0
100038411	1	1	0	0	0	0
100038412	3	0	0	1	0	0
100038413	0	0	0	0	0	0
100038414	0	0	0	0	0	0
100038416	4	7	5	10	4	6
100038417	0	0	0	0	0	0
100038419	0	0	0	0	0	0
100038420	0	0	0	0	0	0
100038421	0	0	0	0	0	0
100038424	0	0	0	3	1	0
100038425	41	44	33	37	49	32
100038429	0	0	0	0	0	0
100038431	0	0	0	0	0	0
100038433	0	2	9	1	1	4
100038436	0	0	0	0	0	0
100038439	0	0	0	0	0	0
100038440	0	0	0	0	0	0
100038452	0	0	2	0	0	0
100038453	0	0	8	2	4	9
100038454	1	3	0	0	1	0
100038460	2	3	2	0	0	2
100038464	2	5	4	0	2	6
100038467	0	0	0	0	0	0
100038468	1	0	5	1	0	2
100038470	0	0	0	0	0	0
100038478	0	1	0	1	0	2
100038479	0	0	0	0	0	0
100038481	0	0	0	0	0	0
100038486	0	0	0	0	0	0
100038487	0	0	0	0	0	0
100038489	0	0	0	0	0	0
100038493	0	0	0	0	0	0
100038494	0	0	0	0	0	0
100038496	1	0	0	1	2	2
100038498	0	0	0	0	0	0
100038504	8	1	3	3	9	2
100038506	0	0	0	0	0	0
100038508	3	3	0	2	5	0
100038509	0	0	0	0	0	0
100038513	0	0	0	0	0	0
100038514	0	0	0	0	0	0
100038516	0	0	5	4	3	4
100038522	0	6	0	6	0	3
100038525	3	4	1	2	1	3
100038526	4	12	11	4	7	5
100038528	2	6	2	8	3	2
100038529	0	0	0	0	0	0
100038532	0	0	4	2	2	5
100038537	0	0	0	0	0	0
100038538	13	21	31	27	13	33
100038541	5	5	31	3	1	24
